DATE,DFF
7/1/1954,0.799354839
8/1/1954,1.220645161
9/1/1954,1.066666667
10/1/1954,0.848709677
11/1/1954,0.833666667
12/1/1954,1.277741935
1/1/1955,1.391290323
2/1/1955,1.291785714
3/1/1955,1.346774194
4/1/1955,1.427666667
5/1/1955,1.433225806
6/1/1955,1.644666667
7/1/1955,1.682258065
8/1/1955,1.956451613
9/1/1955,2.178666667
10/1/1955,2.240322581
11/1/1955,2.354333333
12/1/1955,2.482258065
1/1/1956,2.453870968
2/1/1956,2.495862069
3/1/1956,2.498064516
4/1/1956,2.623333333
5/1/1956,2.75
6/1/1956,2.708333333
7/1/1956,2.746129032
8/1/1956,2.734193548
9/1/1956,2.95
10/1/1956,2.964516129
11/1/1956,2.882
12/1/1956,2.941612903
1/1/1957,2.843548387
2/1/1957,3
3/1/1957,2.961935484
4/1/1957,3
5/1/1957,3
6/1/1957,3
7/1/1957,2.990322581
8/1/1957,3.242903226
9/1/1957,3.466666667
10/1/1957,3.5
11/1/1957,3.275
12/1/1957,2.983870968
1/1/1958,2.718064516
2/1/1958,1.674642857
3/1/1958,1.197741935
4/1/1958,1.264
5/1/1958,0.626774194
6/1/1958,0.930333333
7/1/1958,0.682903226
8/1/1958,1.529354839
9/1/1958,1.758666667
10/1/1958,1.802903226
11/1/1958,2.266666667
12/1/1958,2.423870968
1/1/1959,2.484193548
2/1/1959,2.428571429
3/1/1959,2.803870968
4/1/1959,2.958333333
5/1/1959,2.89516129
6/1/1959,3.391666667
7/1/1959,3.467741935
8/1/1959,3.5
9/1/1959,3.758333333
10/1/1959,3.983870968
11/1/1959,4
12/1/1959,3.991935484
1/1/1960,3.991935484
2/1/1960,3.965517241
3/1/1960,3.838709677
4/1/1960,3.916666667
5/1/1960,3.846774194
6/1/1960,3.316666667
7/1/1960,3.225806452
8/1/1960,2.975806452
9/1/1960,2.6
10/1/1960,2.467741935
11/1/1960,2.441666667
12/1/1960,1.983870968
1/1/1961,1.447741935
2/1/1961,2.544642857
3/1/1961,2.024193548
4/1/1961,1.491666667
5/1/1961,1.975806452
6/1/1961,1.725
7/1/1961,1.169354839
8/1/1961,2
9/1/1961,1.875
10/1/1961,2.258064516
11/1/1961,2.608333333
12/1/1961,2.330645161
1/1/1962,2.14516129
2/1/1962,2.366071429
3/1/1962,2.85483871
4/1/1962,2.783333333
5/1/1962,2.362903226
6/1/1962,2.683333333
7/1/1962,2.709677419
8/1/1962,2.927419355
9/1/1962,2.9
10/1/1962,2.896129032
11/1/1962,2.943333333
12/1/1962,2.933225806
1/1/1963,2.916129032
2/1/1963,3
3/1/1963,2.984193548
4/1/1963,2.900666667
5/1/1963,3
6/1/1963,2.991666667
7/1/1963,3.016774194
8/1/1963,3.488387097
9/1/1963,3.479333333
10/1/1963,3.496129032
11/1/1963,3.483333333
12/1/1963,3.375483871
1/1/1964,3.483870968
2/1/1964,3.482758621
3/1/1964,3.427741935
4/1/1964,3.467333333
5/1/1964,3.496129032
6/1/1964,3.5
7/1/1964,3.419354839
8/1/1964,3.5
9/1/1964,3.45
10/1/1964,3.359032258
11/1/1964,3.517666667
12/1/1964,3.846774194
1/1/1965,3.903225806
2/1/1965,3.982857143
3/1/1965,4.046129032
4/1/1965,4.091
5/1/1965,4.100645161
6/1/1965,4.046
7/1/1965,4.092580645
8/1/1965,4.121612903
9/1/1965,4.016333333
10/1/1965,4.080645161
11/1/1965,4.104666667
12/1/1965,4.32483871
1/1/1966,4.422903226
2/1/1966,4.6025
3/1/1966,4.655806452
4/1/1966,4.671666667
5/1/1966,4.897741935
6/1/1966,5.172333333
7/1/1966,5.299354839
8/1/1966,5.534516129
9/1/1966,5.397666667
10/1/1966,5.532258065
11/1/1966,5.758333333
12/1/1966,5.39516129
1/1/1967,4.943548387
2/1/1967,5
3/1/1967,4.532258065
4/1/1967,4.054333333
5/1/1967,3.94
6/1/1967,3.984333333
7/1/1967,3.794516129
8/1/1967,3.896129032
9/1/1967,3.988
10/1/1967,3.880645161
11/1/1967,4.126333333
12/1/1967,4.51
1/1/1968,4.606451613
2/1/1968,4.712758621
3/1/1968,5.053548387
4/1/1968,5.759666667
5/1/1968,6.115483871
6/1/1968,6.073333333
7/1/1968,6.026451613
8/1/1968,6.031290323
9/1/1968,5.776333333
10/1/1968,5.913548387
11/1/1968,5.818333333
12/1/1968,6.019354839
1/1/1969,6.300645161
2/1/1969,6.612857143
3/1/1969,6.793225806
4/1/1969,7.414666667
5/1/1969,8.670322581
6/1/1969,8.901333333
7/1/1969,8.613225806
8/1/1969,9.185483871
9/1/1969,9.15
10/1/1969,9
11/1/1969,8.85
12/1/1969,8.971935484
1/1/1970,8.976774194
2/1/1970,8.978214286
3/1/1970,7.762258065
4/1/1970,8.096333333
5/1/1970,7.946451613
6/1/1970,7.605
7/1/1970,7.21483871
8/1/1970,6.61516129
9/1/1970,6.289666667
10/1/1970,6.203870968
11/1/1970,5.601333333
12/1/1970,4.900645161
1/1/1971,4.142258065
2/1/1971,3.720714286
3/1/1971,3.711612903
4/1/1971,4.156
5/1/1971,4.632258065
6/1/1971,4.911333333
7/1/1971,5.308709677
8/1/1971,5.566774194
9/1/1971,5.553666667
10/1/1971,5.199354839
11/1/1971,4.910333333
12/1/1971,4.138387097
1/1/1972,3.505806452
2/1/1972,3.295517241
3/1/1972,3.829354839
4/1/1972,4.171
5/1/1972,4.269677419
6/1/1972,4.464666667
7/1/1972,4.549032258
